RO #,Ro Closed Date,Advisor ,Tech,Customer Name,Year,Make,Model,Mileage,Op Code,Op Code Name,Task Status,Total
" 224135"," 09/03/26 11:10 AM"," Advisor A"," Tech E"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," WS"," Windshield heavily damaged, recommend replace"," Caution"," 450.0"
" 224135"," 09/03/26 11:10 AM"," Advisor A"," Tech E"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224135"," 09/03/26 11:10 AM"," Advisor A"," Tech E"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," BRKFLUSH"," Brake flush due every 45,000km"," Caution"," 194.0"
" 224142"," 10/03/26 09:39 AM"," Advisor A"," Tech E"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224142"," 10/03/26 09:39 AM"," Advisor A"," Tech E"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224152"," 08/04/26 07:36 AM"," Advisor B"," Tech A"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," CFLUSH"," Coolant flush due every 100,000km"," Fail"," 260.0"
" 224152"," 08/04/26 07:36 AM"," Advisor B"," Tech A"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," WA"," Wheel alignment"," Fail"," 140.0"
" 224152"," 08/04/26 07:36 AM"," Advisor B"," Tech A"," Fraser, Laura"," 2018"," Dodge"," Journey"," 73183"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224161"," 09/05/26 02:13 PM"," Advisor A"," Tech B"," Novak, Scott"," 2022"," Dodge"," Challenger"," 143679"," WS"," Windshield heavily damaged, recommend replace"," Fail"," 450.0"
" 224161"," 09/05/26 02:13 PM"," Advisor A"," Tech B"," Novak, Scott"," 2022"," Dodge"," Challenger"," 143679"," CABIN"," Cabin air filter dirty, needs replacement"," Caution"," 60.0"
" 224161"," 09/05/26 02:13 PM"," Advisor A"," Tech B"," Novak, Scott"," 2022"," Dodge"," Challenger"," 143679"," LOFSYN"," Synthetic oil change due every 8000km"," Fail"," 190.0"
" 224161"," 09/05/26 02:13 PM"," Advisor A"," Tech B"," Novak, Scott"," 2022"," Dodge"," Challenger"," 143679"," WA"," Wheel alignment"," Fail"," 140.0"
" 224165"," 13/05/26 01:02 PM"," Advisor B"," Tech E"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," AIRFILTER"," Engine air filter dirty, needs replacement"," Caution"," 94.0"
" 224165"," 13/05/26 01:02 PM"," Advisor B"," Tech E"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," WS"," Windshield heavily damaged, recommend replace"," Fail"," 450.0"
" 224165"," 13/05/26 01:02 PM"," Advisor B"," Tech E"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," SERTRANS"," Transmission service due every 45,000km"," Caution"," 250.0"
" 224176"," 14/05/26 11:04 AM"," Advisor A"," Tech C"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," BRKFLUSH"," Brake flush due every 45,000km"," Caution"," 194.0"
" 224176"," 14/05/26 11:04 AM"," Advisor A"," Tech C"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," DRIVELINE"," Driveline service due every 96,000km"," Caution"," 850.0"
" 224176"," 14/05/26 11:04 AM"," Advisor A"," Tech C"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," WA"," Wheel alignment"," Caution"," 140.0"
" 224177"," 06/06/26 11:38 AM"," Advisor A"," Tech B"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," SERTRANS"," Transmission service due every 45,000km"," Caution"," 250.0"
" 224177"," 06/06/26 11:38 AM"," Advisor A"," Tech B"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," BRKFLUSH"," Brake flush due every 45,000km"," Fail"," 194.0"
" 224177"," 06/06/26 11:38 AM"," Advisor A"," Tech B"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224177"," 06/06/26 11:38 AM"," Advisor A"," Tech B"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224181"," 12/06/26 11:43 AM"," Advisor A"," Tech A"," Novak, Scott"," 2022"," Dodge"," Challenger"," 143679"," CABIN"," Cabin air filter dirty, needs replacement"," Caution"," 60.0"
" 224184"," 20/06/26 11:28 AM"," Advisor C"," Tech E"," Mitchell, Andrew"," 2016"," Jeep"," Wrangler"," 94619"," BRKSERVICE"," Brake service due every 32,000km"," Fail"," 185.0"
" 224184"," 20/06/26 11:28 AM"," Advisor C"," Tech E"," Mitchell, Andrew"," 2016"," Jeep"," Wrangler"," 94619"," CFLUSH"," Coolant flush due every 100,000km"," Caution"," 260.0"
" 224184"," 20/06/26 11:28 AM"," Advisor C"," Tech E"," Mitchell, Andrew"," 2016"," Jeep"," Wrangler"," 94619"," DRIVELINE"," Driveline service due every 96,000km"," Fail"," 850.0"
" 224184"," 20/06/26 11:28 AM"," Advisor C"," Tech E"," Mitchell, Andrew"," 2016"," Jeep"," Wrangler"," 94619"," BRKFLUSH"," Brake flush due every 45,000km"," Fail"," 194.0"
" 224192"," 25/06/26 11:30 AM"," Advisor C"," Tech E"," Campbell, Ravi"," 2023"," Fiat"," 500"," 77483"," CFLUSH"," Coolant flush due every 100,000km"," Fail"," 260.0"
" 224192"," 25/06/26 11:30 AM"," Advisor C"," Tech E"," Campbell, Ravi"," 2023"," Fiat"," 500"," 77483"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224192"," 25/06/26 11:30 AM"," Advisor C"," Tech E"," Campbell, Ravi"," 2023"," Fiat"," 500"," 77483"," LOFSYN"," Synthetic oil change due every 8000km"," Caution"," 190.0"
" 224192"," 25/06/26 11:30 AM"," Advisor C"," Tech E"," Campbell, Ravi"," 2023"," Fiat"," 500"," 77483"," SERTRANS"," Transmission service due every 45,000km"," Fail"," 250.0"
" 224201"," 27/06/26 01:18 PM"," Advisor B"," Tech B"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," AIRFILTER"," Engine air filter dirty, needs replacement"," Caution"," 94.0"
" 224201"," 27/06/26 01:18 PM"," Advisor B"," Tech B"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," BRKFLUSH"," Brake flush due every 45,000km"," Fail"," 194.0"
" 224201"," 27/06/26 01:18 PM"," Advisor B"," Tech B"," Phillips, William"," 2017"," Fiat"," 500"," 77436"," WA"," Wheel alignment"," Fail"," 140.0"
" 224207"," 27/07/26 11:12 AM"," Advisor C"," Tech A"," White, Linda"," 2018"," Jeep"," Wrangler"," 32561"," LOFSYN"," Synthetic oil change due every 8000km"," Fail"," 190.0"
" 224207"," 27/07/26 11:12 AM"," Advisor C"," Tech A"," White, Linda"," 2018"," Jeep"," Wrangler"," 32561"," DRIVELINE"," Driveline service due every 96,000km"," Caution"," 850.0"
" 224211"," 27/07/26 11:31 AM"," Advisor A"," Tech D"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224211"," 27/07/26 11:31 AM"," Advisor A"," Tech D"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," CFLUSH"," Coolant flush due every 100,000km"," Caution"," 260.0"
" 224211"," 27/07/26 11:31 AM"," Advisor A"," Tech D"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224211"," 27/07/26 11:31 AM"," Advisor A"," Tech D"," Evans, Margaret"," 2016"," Jeep"," Grand Cherokee"," 148568"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224221"," 27/07/26 11:48 AM"," Advisor C"," Tech A"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224221"," 27/07/26 11:48 AM"," Advisor C"," Tech A"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," BRKSERVICE"," Brake service due every 32,000km"," Fail"," 185.0"
" 224221"," 27/07/26 11:48 AM"," Advisor C"," Tech A"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224221"," 27/07/26 11:48 AM"," Advisor C"," Tech A"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," WA"," Wheel alignment"," Fail"," 140.0"
" 224225"," 27/07/26 04:33 PM"," Advisor B"," Tech D"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," BRKSERVICE"," Brake service due every 32,000km"," Caution"," 185.0"
" 224225"," 27/07/26 04:33 PM"," Advisor B"," Tech D"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224225"," 27/07/26 04:33 PM"," Advisor B"," Tech D"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224225"," 27/07/26 04:33 PM"," Advisor B"," Tech D"," Roy, Jason"," 2015"," Jeep"," Renegade"," 150133"," SERTRANS"," Transmission service due every 45,000km"," Caution"," 250.0"
" 224232"," 28/07/26 09:38 AM"," Advisor C"," Tech E"," Stewart, Barbara"," 2025"," Jeep"," Renegade"," 25815"," BRKFLUSH"," Brake flush due every 45,000km"," Fail"," 194.0"
" 224235"," 13/08/26 12:09 PM"," Advisor B"," Tech B"," Ali, Dmitri"," 2017"," Jeep"," Wrangler"," 36743"," WA"," Wheel alignment"," Fail"," 140.0"
" 224241"," 15/08/26 02:17 PM"," Advisor A"," Tech D"," Campbell, Amanda"," 2016"," Fiat"," 500"," 32726"," LEAK"," Fluid leak identified, needs further diag"," Fail"," 194.95"
" 224241"," 15/08/26 02:17 PM"," Advisor A"," Tech D"," Campbell, Amanda"," 2016"," Fiat"," 500"," 32726"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224241"," 15/08/26 02:17 PM"," Advisor A"," Tech D"," Campbell, Amanda"," 2016"," Fiat"," 500"," 32726"," WA"," Wheel alignment"," Caution"," 140.0"
" 224249"," 12/09/26 05:19 PM"," Advisor A"," Tech E"," Hill, Margaret"," 2018"," Jeep"," Cherokee"," 88612"," LEAK"," Fluid leak identified, needs further diag"," Caution"," 194.95"
" 224260"," 15/09/26 04:52 PM"," Advisor A"," Tech A"," White, Linda"," 2018"," Jeep"," Wrangler"," 32561"," DRIVELINE"," Driveline service due every 96,000km"," Caution"," 850.0"
" 224261"," 12/10/26 08:46 AM"," Advisor C"," Tech B"," White, Melissa"," 2023"," Jeep"," Cherokee"," 175496"," LOFSYN"," Synthetic oil change due every 8000km"," Caution"," 190.0"
" 224261"," 12/10/26 08:46 AM"," Advisor C"," Tech B"," White, Melissa"," 2023"," Jeep"," Cherokee"," 175496"," AIRFILTER"," Engine air filter dirty, needs replacement"," Caution"," 94.0"
" 224269"," 16/10/26 04:10 PM"," Advisor C"," Tech C"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," LOFSYN"," Synthetic oil change due every 8000km"," Caution"," 190.0"
" 224269"," 16/10/26 04:10 PM"," Advisor C"," Tech C"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," SERTRANS"," Transmission service due every 45,000km"," Fail"," 250.0"
" 224269"," 16/10/26 04:10 PM"," Advisor C"," Tech C"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," BRKFLUSH"," Brake flush due every 45,000km"," Caution"," 194.0"
" 224279"," 26/10/26 09:31 AM"," Advisor A"," Tech C"," Kim, Shirley"," 2023"," Jeep"," Wrangler"," 178955"," CABIN"," Cabin air filter dirty, needs replacement"," Caution"," 60.0"
" 224279"," 26/10/26 09:31 AM"," Advisor A"," Tech C"," Kim, Shirley"," 2023"," Jeep"," Wrangler"," 178955"," DRIVELINE"," Driveline service due every 96,000km"," Fail"," 850.0"
" 224279"," 26/10/26 09:31 AM"," Advisor A"," Tech C"," Kim, Shirley"," 2023"," Jeep"," Wrangler"," 178955"," BRKFLUSH"," Brake flush due every 45,000km"," Caution"," 194.0"
" 224279"," 26/10/26 09:31 AM"," Advisor A"," Tech C"," Kim, Shirley"," 2023"," Jeep"," Wrangler"," 178955"," SERTRANS"," Transmission service due every 45,000km"," Caution"," 250.0"
" 224285"," 14/11/26 04:57 PM"," Advisor C"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," BRKFLUSH"," Brake flush due every 45,000km"," Caution"," 194.0"
" 224285"," 14/11/26 04:57 PM"," Advisor C"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," CFLUSH"," Coolant flush due every 100,000km"," Fail"," 260.0"
" 224285"," 14/11/26 04:57 PM"," Advisor C"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," LEAK"," Fluid leak identified, needs further diag"," Fail"," 194.95"
" 224287"," 01/12/26 07:08 AM"," Advisor B"," Tech C"," Young, Scott"," 2025"," Jeep"," Renegade"," 77946"," LOFSYN"," Synthetic oil change due every 8000km"," Fail"," 190.0"
" 224287"," 01/12/26 07:08 AM"," Advisor B"," Tech C"," Young, Scott"," 2025"," Jeep"," Renegade"," 77946"," CABIN"," Cabin air filter dirty, needs replacement"," Fail"," 60.0"
" 224287"," 01/12/26 07:08 AM"," Advisor B"," Tech C"," Young, Scott"," 2025"," Jeep"," Renegade"," 77946"," WS"," Windshield heavily damaged, recommend replace"," Fail"," 450.0"
" 224287"," 01/12/26 07:08 AM"," Advisor B"," Tech C"," Young, Scott"," 2025"," Jeep"," Renegade"," 77946"," WA"," Wheel alignment"," Fail"," 140.0"
" 224293"," 01/12/26 10:38 AM"," Advisor A"," Tech A"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," AIRFILTER"," Engine air filter dirty, needs replacement"," Fail"," 94.0"
" 224293"," 01/12/26 10:38 AM"," Advisor A"," Tech A"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," DRIVELINE"," Driveline service due every 96,000km"," Fail"," 850.0"
" 224293"," 01/12/26 10:38 AM"," Advisor A"," Tech A"," Mitchell, Matthew"," 2020"," Jeep"," Compass"," 16414"," WS"," Windshield heavily damaged, recommend replace"," Caution"," 450.0"
" 224301"," 10/12/26 02:48 PM"," Advisor B"," Tech B"," Cooper, Richard"," 2018"," Ram"," 3500"," 28916"," DRIVELINE"," Driveline service due every 96,000km"," Fail"," 850.0"
" 224301"," 10/12/26 02:48 PM"," Advisor B"," Tech B"," Cooper, Richard"," 2018"," Ram"," 3500"," 28916"," LEAK"," Fluid leak identified, needs further diag"," Fail"," 194.95"
" 224301"," 10/12/26 02:48 PM"," Advisor B"," Tech B"," Cooper, Richard"," 2018"," Ram"," 3500"," 28916"," WA"," Wheel alignment"," Caution"," 140.0"
" 224301"," 10/12/26 02:48 PM"," Advisor B"," Tech B"," Cooper, Richard"," 2018"," Ram"," 3500"," 28916"," SERTRANS"," Transmission service due every 45,000km"," Caution"," 250.0"
" 224303"," 25/12/26 04:38 PM"," Advisor A"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," CFLUSH"," Coolant flush due every 100,000km"," Fail"," 260.0"
" 224303"," 25/12/26 04:38 PM"," Advisor A"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," DRIVELINE"," Driveline service due every 96,000km"," Caution"," 850.0"
" 224303"," 25/12/26 04:38 PM"," Advisor A"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," AIRFILTER"," Engine air filter dirty, needs replacement"," Caution"," 94.0"
" 224303"," 25/12/26 04:38 PM"," Advisor A"," Tech D"," Chen, Leila"," 2021"," Jeep"," Compass"," 191013"," WS"," Windshield heavily damaged, recommend replace"," Fail"," 450.0"
